feature,source,gain,group,gain_share
num__V258,V258,989.6998901367188,V,0.117536133097003
num__V246,V246,684.1536865234375,V,0.08124965917386903
num__V257,V257,278.5977478027344,V,0.03308609235244431
freq__freq_addr2,addr2,241.49481201171875,frequency,0.02867977116065359
num__V225,V225,235.7796173095703,V,0.028001038251939003
num__V156,V156,205.7834014892578,V,0.02443870662979884
num__V324,V324,151.78013610839844,V,0.018025312983164576
num__V147,V147,113.62527465820312,V,0.013494065765294966
num__V294,V294,111.26937866210938,V,0.013214281046594714
num__V295,V295,101.60704803466797,V,0.012066788771439144
num__C8,C8,99.17811584472656,C,0.011778330320543377
num__C4,C4,94.12754821777344,C,0.011178528102989355
num__C7,C7,90.48399353027344,C,0.01074582185237327
cat__id_28_<missing>,id_28,85.10791015625,identity,0.010107361590543278
num__V103,V103,83.77763366699219,V,0.009949378795904774
num__V70,V70,81.77655792236328,V,0.009711732305891122
cat__id_12_NotFound,id_12,70.99890899658203,identity,0.008431785534917547
num__V193,V193,65.81646728515625,V,0.007816322034484647
num__V201,V201,64.68546295166016,V,0.007682004675050849
num__V91,V91,58.57764434814453,V,0.006956644000093117
num__V198,V198,55.84068298339844,V,0.006631604199185679
num__V283,V283,53.708030700683594,V,0.00637833176271388
num__V187,V187,52.31187438964844,V,0.006212525122101462
num__V317,V317,51.359249114990234,V,0.0060993919468938455
num__V227,V227,51.306453704833984,V,0.006093121997369876
num__V142,V142,48.199466705322266,V,0.005724138186070452
cat__M4_<missing>,M4,45.895652770996094,M,0.005450538700090632
num__V189,V189,44.52757263183594,V,0.005288066367895585
num__C14,C14,43.53831100463867,C,0.005170582282628127
num__V148,V148,41.331912994384766,V,0.0049085518501883075
num__V333,V333,40.989768981933594,V,0.00486791904363091
num__V224,V224,39.55088806152344,V,0.004697038455426839
cat__M5_<missing>,M5,38.1202392578125,M,0.0045271355081962315
num__C1,C1,36.97863006591797,C,0.00439155872248522
num__C10,C10,35.93752670288086,C,0.004267917945452535
num__V322,V322,34.34469985961914,V,0.004078754836801259
num__V69,V69,33.849857330322266,V,0.004019987650945089
num__V200,V200,33.01252746582031,V,0.003920546885738374
num__V296,V296,32.26252746582031,V,0.0038314773600152028
num__V71,V71,31.7695255279541,V,0.0037729287616334057
num__V163,V163,31.065261840820312,V,0.0036892908515039945
num__C12,C12,29.887903213500977,C,0.0035494684854487715
num__C5,C5,29.510881423950195,C,0.0035046936161386524
num__V33,V33,29.261573791503906,V,0.0034750859993637755
num__V162,V162,28.328393936157227,V,0.0033642621498569136
num__V141,V141,28.317420959472656,V,0.0033629590060848254
num__C13,C13,27.885326385498047,C,0.00331164372772286
num__V308,V308,27.40699005126953,V,0.003254836807155001
cat__ProductCD_C,ProductCD,26.668991088867188,product,0.0031671925170678418
num__V149,V149,25.999805450439453,V,0.0030877204538204872
num__V312,V312,25.842262268066406,V,0.0030690107251073054
cat__card6_debit,card6,25.501134872436523,card,0.0030284986513207266
num__id_17,id_17,25.286571502685547,identity,0.0030030172412123467
cat__card6_credit,card6,25.117359161376953,card,0.002982921690563195
num__V243,V243,24.466123580932617,V,0.002905581364850887
cat__ProductCD_H,ProductCD,23.65225601196289,product,0.0028089269670247483
num__V217,V217,23.197433471679688,V,0.0027549125297564375
freq__freq_card3,card3,22.338842391967773,frequency,0.002652946796076323
num__V326,V326,21.904905319213867,V,0.0026014127037244676
num__V115,V115,20.483591079711914,V,0.0024326183234364292
num__card3,card3,20.46450424194336,card,0.002430351582652962
num__V167,V167,20.42579460144043,V,0.002425754450225615
num__V53,V53,20.067867279052734,V,0.002383247227761033
num__V45,V45,19.96170997619629,V,0.0023706400536044
num__V58,V58,19.604703903198242,V,0.0023282422381347627
num__V152,V152,19.387022018432617,V,0.002302390475155296
num__V287,V287,19.309612274169922,V,0.002293197342878189
cat__card4_discover,card4,18.934803009033203,card,0.0022486852315683516
num__C11,C11,18.868560791015625,C,0.002240818347646116
num__V30,V30,18.621442794799805,V,0.0022114707706853112
num__id_32,id_32,18.412485122680664,identity,0.0021866550896828185
num__V62,V62,18.40224266052246,V,0.002185438701353927
num__id_01,id_01,18.30095863342285,identity,0.0021734102743444666
num__V112,V112,18.264928817749023,V,0.0021691313962191854
num__V67,V67,17.597320556640625,V,0.0020898466613047902
cat__ProductCD_R,ProductCD,17.128917694091797,product,0.0020342194335519906
num__V29,V29,16.941553115844727,V,0.0020119681347229392
cat__DeviceType_mobile,DeviceType,16.457889556884766,identity,0.001954528556314746
num__V205,V205,16.199644088745117,V,0.001923859487824937
num__V262,V262,16.01584815979004,V,0.001902031999529099
num__V44,V44,15.776644706726074,V,0.001873624348708096
num__V12,V12,15.526848793029785,V,0.001843958743960743
num__V83,V83,15.397172927856445,V,0.0018285585202157681
num__V57,V57,15.383537292480469,V,0.0018269391607812716
num__V298,V298,15.361054420471191,V,0.0018242691091189234
num__V102,V102,15.280791282653809,V,0.0018147371096276597
num__V143,V143,15.129117965698242,V,0.0017967244824195364
num__V320,V320,14.970303535461426,V,0.001777863781113951
num__D2,D2,14.96796703338623,D,0.0017775862996050327
num__V54,V54,14.854673385620117,V,0.0017641316176397316
num__V197,V197,14.843338012695312,V,0.0017627854359193215
num__V323,V323,14.6202974319458,V,0.001736297277593482
num__V140,V140,14.606389999389648,V,0.001734645639697744
num__V284,V284,14.563484191894531,V,0.001729550173131931
num__V161,V161,14.513890266418457,V,0.0017236604299040587
num__addr2,addr2,14.447738647460938,addr,0.0017158043054689037
num__V210,V210,14.375871658325195,V,0.0017072694272856064
num__V82,V82,14.277679443359375,V,0.0016956081819299888
num__V63,V63,14.250585556030273,V,0.001692390529004122
num__V61,V61,14.109015464782715,V,0.0016755777544921137
num__V90,V90,14.092869758605957,V,0.0016736603006366078
num__V336,V336,14.058307647705078,V,0.0016695557262020305
num__id_09,id_09,13.820640563964844,identity,0.0016413305336303613
num__V235,V235,13.77779769897461,V,0.0016362425420766253
num__V247,V247,13.659393310546875,V,0.0016221809117822248
cat__M6_F,M6,13.612405776977539,M,0.001616600702008995
num__V266,V266,13.276748657226562,V,0.0015767382747265612
num__V170,V170,13.248305320739746,V,0.0015733603620720741
num__V64,V64,12.741751670837402,V,0.00151320237093855
num__V256,V256,12.671589851379395,V,0.001504869997627884
num__V327,V327,12.587601661682129,V,0.0014948956133309732
num__V66,V66,12.552135467529297,V,0.0014906836705411083
num__V223,V223,12.534517288208008,V,0.0014885913467061042
num__id_03,id_03,12.533509254455566,identity,0.0014884716332551138
num__V251,V251,12.509451866149902,V,0.0014856145930330822
num__V281,V281,12.401348114013672,V,0.0014727762597908564
num__V87,V87,12.350253105163574,V,0.0014667082488507238
num__D3,D3,12.347149848937988,D,0.0014663397081037767
num__V20,V20,12.332863807678223,V,0.001464643106877818
num__V209,V209,12.232769966125488,V,0.0014527560255512683
num__V255,V255,12.122278213500977,V,0.001439634094881152
num__V282,V282,12.03615665435791,V,0.0014294063529779347
num__V226,V226,11.994558334350586,V,0.0014244661627993572
num__V94,V94,11.98657512664795,V,0.001423518082100926
num__V175,V175,11.918938636779785,V,0.0014154856153354093
num__V165,V165,11.772805213928223,V,0.0013981309024478196
freq__freq_P_emaildomain,P_emaildomain,11.675527572631836,frequency,0.0013865782712828357
num__V74,V74,11.619617462158203,V,0.0013799384219188135
num__id_04,id_04,11.541420936584473,identity,0.0013706518519907443
num__V311,V311,11.446523666381836,V,0.001359381912191581
num__V60,V60,11.413707733154297,V,0.0013554847127132607
num__V188,V188,11.359402656555176,V,0.0013490354761572017
num__V315,V315,11.35656452178955,V,0.001348698421067185
num__V99,V99,11.294951438903809,V,0.0013413812903058841
cat__M5_T,M5,11.210009574890137,M,0.0013312936482502312
cat__M4_M0,M4,11.146580696105957,M,0.0013237608747162853
freq__freq_R_emaildomain,R_emaildomain,11.039274215698242,frequency,0.0013110172249603679
num__V171,V171,10.977767944335938,V,0.0013037127790680465
num__V13,V13,10.966985702514648,V,0.0013024322868477067
num__V286,V286,10.910147666931152,V,0.0012956822376844284
num__V208,V208,10.873208045959473,V,0.0012912953116573068
num__V39,V39,10.783881187438965,V,0.001280686910426957
cat__ProductCD_S,ProductCD,10.73182487487793,product,0.0012745047356660121
num__V309,V309,10.658303260803223,V,0.0012657733552712972
num__V164,V164,10.581899642944336,V,0.0012566997099296632
num__V182,V182,10.564582824707031,V,0.0012546431755464217
num__C2,C2,10.492589950561523,C,0.0012460933473389707
num__C9,C9,10.4761323928833,C,0.001244138858196356
cat__M4_M2,M4,10.439090728759766,M,0.001239739813589049
num__C6,C6,10.391074180603027,C,0.0012340373986941362
num__V125,V125,10.372136116027832,V,0.0012317883261210331
cat__id_29_NotFound,id_29,10.22443962097168,identity,0.0012142479837668647
cat__card4_american express,card4,10.21354866027832,card,0.0012129545801620285
cat__id_36_T,id_36,10.183611869812012,identity,0.001209399305857351
num__D1,D1,10.04909896850586,D,0.0011934246387600353
num__V293,V293,10.031107902526855,V,0.0011912880311413631
num__V339,V339,10.02556324005127,V,0.0011906295505320359
num__V97,V97,10.024269104003906,V,0.0011904758597534226
num__V75,V75,9.985726356506348,V,0.0011858985474338553
num__V145,V145,9.96422004699707,V,0.0011833444717164593
num__V335,V335,9.937667846679688,V,0.001180191149197558
num__V98,V98,9.90664005279541,V,0.0011765063080168795
num__V38,V38,9.835871696472168,V,0.0011681019027716534
num__V206,V206,9.807172775268555,V,0.0011646936370378234
num__V24,V24,9.744917869567871,V,0.0011573002838048893
num__V292,V292,9.719454765319824,V,0.0011542763016464716
num__V86,V86,9.655847549438477,V,0.0011467223489116409
num__V169,V169,9.626044273376465,V,0.0011431829306931874
num__C3,C3,9.528387069702148,C,0.001131585222940224
num__V159,V159,9.506205558776855,V,0.0011289509607296385
num__D10,D10,9.47762393951416,D,0.0011255566257001338
num__V73,V73,9.471901893615723,V,0.0011248770791476804
num__V133,V133,9.42548656463623,V,0.001119364824029696
num__V314,V314,9.387730598449707,V,0.001114880949361091
num__V76,V76,9.378528594970703,V,0.0011137881252469871
num__V23,V23,9.177363395690918,V,0.001089897873391177
num__V289,V289,9.156192779541016,V,0.001087383664404858
num__V34,V34,9.099807739257812,V,0.0010806874126769823
num__V116,V116,9.09677505493164,V,0.0010803272530041821
cat__M6_T,M6,9.069709777832031,M,0.0010771129978110775
cat__M3_F,M3,9.044024467468262,M,0.001074062626594873
num__V238,V238,8.970975875854492,V,0.0010653874220484941
num__V310,V310,8.968941688537598,V,0.001065145843249097
num__V285,V285,8.924128532409668,V,0.0010598238611657996
num__V300,V300,8.9207763671875,V,0.0010594257601438206
num__V77,V77,8.830994606018066,V,0.0010487633349625506
cat__M9_F,M9,8.830103874206543,M,0.0010486575522158854
num__TransactionAmt,TransactionAmt,8.822423934936523,amount,0.001047745487484734
num__V56,V56,8.814223289489746,V,0.0010467715840173097
num__V55,V55,8.783014297485352,V,0.0010430652238624701
freq__freq_addr1,addr1,8.750936508178711,frequency,0.0010392556858894164
num__V185,V185,8.741280555725098,V,0.0010381089510821512
num__V32,V32,8.680584907531738,V,0.0010309007742847606
num__card2,card2,8.655156135559082,card,0.0010278808694056578
num__V47,V47,8.65234661102295,V,0.001027547212048403
num__addr1,addr1,8.605365753173828,addr,0.0010219677950794846
cat__M3_T,M3,8.605033874511719,M,0.0010219283813794422
num__V248,V248,8.599143028259277,V,0.0010212287882036914
cat__M5_F,M5,8.597851753234863,M,0.0010210754371983545
num__V191,V191,8.58810043334961,V,0.001019917376615215
freq__freq_card1,card1,8.528706550598145,frequency,0.0010128637966585077
num__V254,V254,8.501279830932617,V,0.0010096066167748399
num__V79,V79,8.42648983001709,V,0.0010007246035609978
freq__freq_card2,card2,8.411653518676758,frequency,0.000998962652608245
num__V330,V330,8.407754898071289,V,0.0009984996548905065
num__V19,V19,8.385293960571289,V,0.0009958322081566095
num__V93,V93,8.38321304321289,V,0.000995585079727034
num__V18,V18,8.36490249633789,V,0.000993410530759183
num__V151,V151,8.357844352722168,V,0.0009925723100867318
num__V59,V59,8.333693504333496,V,0.0009897041706043437
num__V78,V78,8.312902450561523,V,0.0009872350382060043
cat__id_15_New,id_15,8.257920265197754,identity,0.0009807053886412382
num__D13,D13,8.252799034118652,D,0.0009800971944767924
cat__M4_M1,M4,8.219646453857422,M,0.0009761600150096362
num__V72,V72,8.19394302368164,V,0.0009731074918960156
num__V36,V36,8.180900573730469,V,0.0009715585787874568
num__D15,D15,8.178443908691406,D,0.0009712668268009369
num__V49,V49,8.15283489227295,V,0.0009682255162054317
cat__id_16_NotFound,id_16,8.100671768188477,identity,0.0009620306565755078
num__D12,D12,8.08956527709961,D,0.0009607116567171958
num__V267,V267,8.038591384887695,V,0.0009546580295124235
cat__M2_F,M2,7.9924635887146,M,0.0009491799216086998
num__V85,V85,7.9687628746032715,V,0.0009463652397884378
num__card5,card5,7.935743808746338,card,0.0009424439164075055
num__V250,V250,7.876017093658447,V,0.000935350809492997
freq__freq_id_30,id_30,7.857089042663574,frequency,0.0009331029261263605
num__id_10,id_10,7.8287129402160645,identity,0.0009297329981438647
