group,n_columns,pr_auc_drop_mean,pr_auc_drop_std
C,14,0.25764844664968406,0.004764782929064493
V,339,0.19146124853599797,0.0015725742229553536
card,6,0.11290991767333806,0.0012206010707244844
D,15,0.056589037159811374,0.0031653762722020614
amount,1,0.0351152774616863,0.0014609207119709315
addr,2,0.03309264528473399,0.0005020348364603942
identity,37,0.028765920558574964,0.00039937578667976445
M,9,0.02765818107426628,0.00027269313428040945
email,2,0.01489178899739966,0.000816361132519729
dist,2,0.008651882200317207,0.0006654623265975289
product,1,0.003876117273985291,0.00022849008635050252
has_identity,1,0.0,0.0
