candidate,train_end,gap,window,n,positives,pr_auc,roc_auc,recall_at_p90,seed
xgb_f5_interactions,60,0,61-90,92189,3724,0.6473631711827165,0.9122686394996946,0.4301825993555317,42
xgb_f5_interactions,60,7,68-97,96483,3597,0.5784150938132371,0.8912733738004904,0.345565749235474,42
xgb_f5_interactions,60,14,75-104,97746,3437,0.5371133186192212,0.8812614623877699,0.30317137038114633,42
xgb_f5_interactions,60,30,91-120,98615,3898,0.5447717003469142,0.884992298599344,0.27603899435608004,42
xgb_f5_interactions,60,60,121-150,83571,2850,0.47081231687895136,0.8644564155026507,0.18666666666666668,42
xgb_f5_interactions,90,0,91-120,98615,3898,0.6058434536379151,0.9182221884790193,0.3288866085171883,42
xgb_f5_interactions,90,7,98-127,93814,3699,0.6135721015978726,0.9229084634984072,0.34793187347931875,42
xgb_f5_interactions,90,14,105-134,90773,3730,0.5964343157602711,0.917748823660821,0.2903485254691689,42
xgb_f5_interactions,90,30,121-150,83571,2850,0.5104102063469788,0.8973485040632702,0.15894736842105264,42
xgb_f5_interactions,120,0,121-150,83571,2850,0.6240871709566997,0.9324541690818515,0.3294736842105263,42
xgb_f5_depth10,60,0,61-90,92189,3724,0.6431620514868613,0.9111252209254839,0.4377013963480129,42
xgb_f5_depth10,60,7,68-97,96483,3597,0.5726831895392348,0.8881583725563827,0.3555740895190436,42
xgb_f5_depth10,60,14,75-104,97746,3437,0.5323021973821354,0.8787038594520042,0.3034623217922607,42
xgb_f5_depth10,60,30,91-120,98615,3898,0.5412790480001075,0.8837427294756756,0.2685992816829143,42
xgb_f5_depth10,60,60,121-150,83571,2850,0.47482671171394764,0.8682851611257054,0.18,42
xgb_f5_depth10,90,0,91-120,98615,3898,0.6110449155613314,0.9169947614137814,0.3335043612108774,42
xgb_f5_depth10,90,7,98-127,93814,3699,0.6187041143504495,0.9224883460842299,0.3457691267910246,42
xgb_f5_depth10,90,14,105-134,90773,3730,0.6027624419677429,0.9179885159838567,0.29115281501340484,42
xgb_f5_depth10,90,30,121-150,83571,2850,0.5159151017604636,0.8972060858530041,0.18596491228070175,42
xgb_f5_depth10,120,0,121-150,83571,2850,0.6321089206330971,0.9300545500344809,0.33824561403508774,42
xgb_f5_capacity,60,0,61-90,92189,3724,0.6549849633340418,0.9142006830545776,0.4301825993555317,42
xgb_f5_capacity,60,7,68-97,96483,3597,0.58305972128454,0.8936020149857886,0.3269391159299416,42
xgb_f5_capacity,60,14,75-104,97746,3437,0.5426104616691801,0.8850041534363637,0.29327902240325865,42
xgb_f5_capacity,60,30,91-120,98615,3898,0.5471156672078009,0.890057637768849,0.258594150846588,42
xgb_f5_capacity,60,60,121-150,83571,2850,0.47679165912133126,0.8737865382972798,0.17508771929824563,42
xgb_f5_capacity,90,0,91-120,98615,3898,0.61460453837384,0.9186598157684316,0.35094920472036945,42
xgb_f5_capacity,90,7,98-127,93814,3699,0.6219972168963086,0.9232636298123585,0.3609083536090835,42
xgb_f5_capacity,90,14,105-134,90773,3730,0.6073112880673041,0.9206295606445662,0.30777479892761395,42
xgb_f5_capacity,90,30,121-150,83571,2850,0.5216270703732924,0.9014502715330712,0.1694736842105263,42
xgb_f5_capacity,120,0,121-150,83571,2850,0.6467012333423673,0.9346755588938898,0.3550877192982456,42
