column,family,dtype,n_unique,bucket,null_frac
TransactionDT,time,numeric,573349,">100,000",0.0
id_02,identity,numeric,115655,">100,000",0.7614522301622244
V307,vesta,numeric,37367,"≤100,000",2.0320384732617603e-05
V127,vesta,numeric,24414,"≤100,000",0.0005317167338368274
V308,vesta,numeric,23064,"≤100,000",2.0320384732617603e-05
TransactionAmt,transaction,numeric,20902,"≤100,000",0.0
V310,vesta,numeric,19136,"≤100,000",2.0320384732617603e-05
V306,vesta,numeric,16210,"≤100,000",2.0320384732617603e-05
V317,vesta,numeric,15184,"≤100,000",2.0320384732617603e-05
V203,vesta,numeric,14951,"≤100,000",0.763553696616656
V128,vesta,numeric,14507,"≤100,000",0.0005317167338368274
card1,card,numeric,13553,"≤100,000",0.0
V264,vesta,numeric,13358,"≤100,000",0.7791343516103905
V204,vesta,numeric,12858,"≤100,000",0.763553696616656
D8,time deltas,numeric,12353,"≤100,000",0.8731229044603245
V130,vesta,numeric,12332,"≤100,000",0.0005317167338368274
V318,vesta,numeric,12309,"≤100,000",2.0320384732617603e-05
V265,vesta,numeric,11757,"≤100,000",0.7791343516103905
V314,vesta,numeric,11377,"≤100,000",0.0021488806854743116
V202,vesta,numeric,10970,"≤100,000",0.763553696616656
V263,vesta,numeric,10422,"≤100,000",0.7791343516103905
V126,vesta,numeric,10299,"≤100,000",0.0005317167338368274
V133,vesta,numeric,9949,"≤100,000",0.0005317167338368274
V316,vesta,numeric,9814,"≤100,000",2.0320384732617603e-05
V160,vesta,numeric,9621,"≤100,000",0.8612270125647712
V212,vesta,numeric,8868,"≤100,000",0.763553696616656
V213,vesta,numeric,8317,"≤100,000",0.763553696616656
V274,vesta,numeric,8315,"≤100,000",0.7791343516103905
V134,vesta,numeric,8178,"≤100,000",0.0005317167338368274
V312,vesta,numeric,8068,"≤100,000",2.0320384732617603e-05
V275,vesta,numeric,7776,"≤100,000",0.7791343516103905
V211,vesta,numeric,7624,"≤100,000",0.763553696616656
V273,vesta,numeric,7177,"≤100,000",0.7791343516103905
V315,vesta,numeric,6973,"≤100,000",0.0021488806854743116
V159,vesta,numeric,6663,"≤100,000",0.8612270125647712
V132,vesta,numeric,6560,"≤100,000",0.0005317167338368274
V320,vesta,numeric,6439,"≤100,000",2.0320384732617603e-05
V321,vesta,numeric,5560,"≤100,000",2.0320384732617603e-05
V313,vesta,numeric,5529,"≤100,000",0.0021488806854743116
V136,vesta,numeric,4852,"≤100,000",0.0005317167338368274
V319,vesta,numeric,4799,"≤100,000",2.0320384732617603e-05
V131,vesta,numeric,4444,"≤100,000",0.0005317167338368274
V137,vesta,numeric,4252,"≤100,000",0.0005317167338368274
V309,vesta,numeric,4236,"≤100,000",2.0320384732617603e-05
V135,vesta,numeric,3724,"≤100,000",0.0005317167338368274
V267,vesta,numeric,3616,"≤100,000",0.7791343516103905
V209,vesta,numeric,3451,"≤100,000",0.7632353439225116
V207,vesta,numeric,3246,"≤100,000",0.763553696616656
V311,vesta,numeric,3098,"≤100,000",2.0320384732617603e-05
V210,vesta,numeric,2836,"≤100,000",0.7632353439225116
V271,vesta,numeric,2787,"≤100,000",0.7605310393876791
V268,vesta,numeric,2756,"≤100,000",0.7791343516103905
V215,vesta,numeric,2747,"≤100,000",0.763553696616656
dist1,distance,numeric,2651,"≤100,000",0.596523520845328
V208,vesta,numeric,2552,"≤100,000",0.7632353439225116
V165,vesta,numeric,2547,"≤100,000",0.8612270125647712
V277,vesta,numeric,2540,"≤100,000",0.7791343516103905
V216,vesta,numeric,2532,"≤100,000",0.763553696616656
V272,vesta,numeric,2507,"≤100,000",0.7605310393876791
V332,vesta,numeric,2453,"≤100,000",0.8605496664070174
V278,vesta,numeric,2398,"≤100,000",0.7791343516103905
V270,vesta,numeric,2340,"≤100,000",0.7605310393876791
V214,vesta,numeric,2282,"≤100,000",0.763553696616656
V276,vesta,numeric,2263,"≤100,000",0.7791343516103905
V205,vesta,numeric,2240,"≤100,000",0.763553696616656
V266,vesta,numeric,2178,"≤100,000",0.7791343516103905
V150,vesta,numeric,1996,"≤100,000",0.8612270125647712
V164,vesta,numeric,1978,"≤100,000",0.8612270125647712
V333,vesta,numeric,1971,"≤100,000",0.8605496664070174
V129,vesta,numeric,1968,"≤100,000",0.0005317167338368274
DeviceInfo,device,string,1786,"≤100,000",0.7990551021099332
V206,vesta,numeric,1780,"≤100,000",0.763553696616656
V331,vesta,numeric,1758,"≤100,000",0.8605496664070174
dist2,distance,numeric,1751,"≤100,000",0.9362837403054831
C1,counts,numeric,1657,"≤100,000",0.0
C13,counts,numeric,1597,"≤100,000",0.0
C11,counts,numeric,1476,"≤100,000",0.0
V323,vesta,numeric,1411,"≤100,000",0.8605496664070174
V96,vesta,numeric,1410,"≤100,000",0.0005317167338368274
C6,counts,numeric,1328,"≤100,000",0.0
V294,vesta,numeric,1286,"≤100,000",2.0320384732617603e-05
V102,vesta,numeric,1285,"≤100,000",0.0005317167338368274
C4,counts,numeric,1260,"≤100,000",0.0
C8,counts,numeric,1253,"≤100,000",0.0
V178,vesta,numeric,1236,"≤100,000",0.763553696616656
C10,counts,numeric,1231,"≤100,000",0.0
C2,counts,numeric,1216,"≤100,000",0.0
C12,counts,numeric,1199,"≤100,000",0.0
C14,counts,numeric,1108,"≤100,000",0.0
C7,counts,numeric,1103,"≤100,000",0.0
V166,vesta,numeric,987,"≤1,000",0.8612270125647712
V97,vesta,numeric,976,"≤1,000",0.0005317167338368274
V324,vesta,numeric,976,"≤1,000",0.8605496664070174
V280,vesta,numeric,975,"≤1,000",2.0320384732617603e-05
V168,vesta,numeric,965,"≤1,000",0.763553696616656
V295,vesta,numeric,928,"≤1,000",2.0320384732617603e-05
V103,vesta,numeric,928,"≤1,000",0.0005317167338368274
V179,vesta,numeric,921,"≤1,000",0.763553696616656
V279,vesta,numeric,881,"≤1,000",2.0320384732617603e-05
V322,vesta,numeric,881,"≤1,000",0.8605496664070174
V95,vesta,numeric,881,"≤1,000",0.0005317167338368274
V167,vesta,numeric,873,"≤1,000",0.763553696616656
V293,vesta,numeric,870,"≤1,000",2.0320384732617603e-05
V101,vesta,numeric,870,"≤1,000",0.0005317167338368274
V143,vesta,numeric,870,"≤1,000",0.8612270125647712
V177,vesta,numeric,862,"≤1,000",0.763553696616656
