TransactionID,day,TransactionDT,has_identity,TransactionAmt,ProductCD,card1,card4,card6,addr1,P_emaildomain,R_emaildomain,DeviceType,C1,C13,D1,D15,M4,id_31,is_fraud,probability,action,decision_at_threshold,category
3545324,170,14771844,True,300.0,R,6207,visa,debit,231.0,gmail.com,gmail.com,mobile,4.0,0.0,0.0,,,mobile safari 11.0,1,0.9995820322691776,block,decline,confident_true_fraud
3557572,175,15136042,True,500.0,R,16075,mastercard,credit,264.0,gmail.com,gmail.com,mobile,4.0,0.0,0.0,,,chrome 58.0 for android,1,0.9994728303825539,block,decline,confident_true_fraud
3545361,170,14772498,True,300.0,R,2616,discover,credit,472.0,gmail.com,gmail.com,mobile,5.0,0.0,0.0,,,mobile safari 11.0,1,0.9994006241413977,block,decline,confident_true_fraud
3524375,163,14159236,True,300.0,R,2616,discover,credit,448.0,gmail.com,gmail.com,mobile,3.0,0.0,0.0,,,chrome 66.0 for android,1,0.999342560612283,block,decline,confident_true_fraud
3495231,154,13305842,True,39.593,C,10876,visa,credit,,gmail.com,gmail.com,desktop,32.0,1.0,6.0,0.0,M2,chrome generic,1,0.9992369174964554,block,decline,confident_true_fraud
3519793,162,14047107,True,175.0,R,7381,mastercard,credit,299.0,gmail.com,gmail.com,desktop,9.0,0.0,0.0,,,edge 16.0,1,0.9991314061548493,block,decline,confident_true_fraud
3540433,169,14617800,True,54.225,C,9633,visa,debit,,gmail.com,gmail.com,mobile,85.0,5.0,4.0,0.0,M2,chrome 66.0 for android,1,0.9991195881612472,block,decline,confident_true_fraud
3540431,169,14617753,True,54.225,C,14076,visa,credit,,gmail.com,gmail.com,mobile,85.0,5.0,4.0,0.0,M2,chrome 66.0 for android,1,0.9991039103294634,block,decline,confident_true_fraud
3571633,180,15629727,True,82.629,C,1976,visa,credit,,hotmail.com,hotmail.com,mobile,193.0,7.0,0.0,0.0,M2,chrome 66.0 for android,1,0.9991013270565409,block,decline,confident_true_fraud
3540439,169,14618033,True,54.225,C,12184,visa,debit,,gmail.com,gmail.com,mobile,86.0,5.0,4.0,0.0,M2,chrome 66.0 for android,1,0.9990613034172163,block,decline,confident_true_fraud
3558031,175,15170677,True,100.0,R,12883,visa,credit,325.0,gmail.com,gmail.com,mobile,7.0,0.0,0.0,,,mobile safari 11.0,1,0.9990566443821844,block,decline,confident_true_fraud
3575678,182,15773130,True,22.748,C,10876,visa,credit,,hotmail.com,hotmail.com,mobile,195.0,7.0,2.0,0.0,M2,chrome 66.0 for android,1,0.9990438042727251,block,decline,confident_true_fraud
3558933,175,15190657,True,22.748,C,9026,visa,credit,,hotmail.com,hotmail.com,mobile,184.0,7.0,68.0,0.0,M2,chrome 66.0 for android,1,0.9989853654006601,block,decline,confident_true_fraud
3519815,162,14047715,True,175.0,R,7381,mastercard,credit,343.0,gmail.com,gmail.com,desktop,11.0,0.0,0.0,,,edge 16.0,1,0.9989334584173766,block,decline,confident_true_fraud
3534449,167,14443160,True,150.0,H,10075,mastercard,debit,315.0,gmail.com,gmail.com,desktop,6.0,0.0,0.0,,,chrome 60.0,1,0.9988980786902959,block,decline,confident_true_fraud
3545327,170,14771885,True,300.0,R,6207,visa,debit,231.0,gmail.com,gmail.com,mobile,4.0,0.0,0.0,,,mobile safari 11.0,1,0.998864786302333,block,decline,confident_true_fraud
3538949,168,14585224,True,13.403,C,1976,visa,credit,,hotmail.com,hotmail.com,mobile,203.0,7.0,70.0,0.0,M2,chrome 66.0 for android,1,0.9988611634851758,block,decline,confident_true_fraud
3556658,174,15110762,True,300.0,R,13186,mastercard,debit,485.0,gmail.com,gmail.com,mobile,5.0,0.0,0.0,,,mobile safari 11.0,1,0.9988183313300402,block,decline,confident_true_fraud
3575705,182,15773981,True,14.386,C,9026,visa,credit,,hotmail.com,hotmail.com,mobile,195.0,7.0,78.0,0.0,M2,chrome 66.0 for android,1,0.9987755045078083,block,decline,confident_true_fraud
