feature,source,gain,group,gain_share
num__V258,V258,279.2882080078125,V,0.17284599196384218
num__V257,V257,109.93317413330078,V,0.06803548444935649
num__V149,V149,53.7215690612793,V,0.03324722500991209
freq__freq_addr2,addr2,29.989625930786133,frequency,0.01855999105585687
num__V201,V201,21.47939682006836,V,0.01329317724021438
num__V294,V294,19.746431350708008,V,0.012220678914104255
num__C4,C4,19.179655075073242,C,0.011869912197949441
num__C7,C7,17.594430923461914,C,0.01088884807453097
num__V295,V295,16.990758895874023,V,0.010515247301431612
num__V331,V331,16.837156295776367,V,0.010420185666099833
num__V200,V200,15.918363571166992,V,0.009851562876662815
num__V147,V147,15.038177490234375,V,0.009306832981488333
num__addr2,addr2,13.727511405944824,addr,0.008495687458774192
num__V163,V163,13.227399826049805,V,0.008186178214770806
num__V317,V317,12.64874267578125,V,0.007828058658422258
num__V187,V187,12.42536735534668,V,0.007689816055499065
num__C8,C8,12.14955997467041,C,0.007519124279272676
num__V156,V156,11.879331588745117,V,0.007351885233431045
num__V70,V70,11.070751190185547,V,0.006851470690087209
num__V323,V323,11.061799049377441,V,0.006845930385792895
num__V333,V333,10.735371589660645,V,0.006643910835875454
num__V327,V327,9.900144577026367,V,0.006127005225919556
cat__M4_<missing>,M4,9.873579025268555,M,0.006110564327184879
cat__ProductCD_C,ProductCD,9.49370002746582,product,0.005875464669129831
num__V142,V142,8.797457695007324,V,0.005444573950687319
num__V336,V336,8.488009452819824,V,0.005253062505345991
num__V189,V189,8.265961647033691,V,0.005115641475191273
num__C1,C1,7.487842082977295,C,0.004634078544643063
num__V141,V141,7.1313958168029785,V,0.004413480944414327
num__V268,V268,6.826180458068848,V,0.004224589147587999
num__V162,V162,6.728119373321533,V,0.004163901066314887
num__V174,V174,6.709347248077393,V,0.004152283366333075
num__V161,V161,6.700531959533691,V,0.004146827757219993
cat__ProductCD_S,ProductCD,6.5102338790893555,product,0.004029056009111329
num__V198,V198,6.452081680297852,V,0.003993066754295691
cat__card6_debit,card6,6.2947869300842285,card,0.0038957201197015877
num__C5,C5,5.992629051208496,C,0.003708720537168173
num__C14,C14,5.9467854499816895,C,0.0036803488318757657
freq__freq_card3,card3,5.907439708709717,frequency,0.0036559985246135394
num__V266,V266,5.8593926429748535,V,0.0036262631383717327
num__V225,V225,5.847601890563965,V,0.0036189660730534465
num__V243,V243,5.839046001434326,V,0.0036136710011479985
num__V118,V118,5.7138214111328125,V,0.003536171959268202
num__V112,V112,5.404314994812012,V,0.0033446245110972206
num__V20,V20,5.267303466796875,V,0.0032598307647404264
num__id_17,id_17,5.266564846038818,identity,0.003259373646845897
num__V91,V91,5.248323917388916,V,0.003248084694013539
num__V33,V33,4.964622974395752,V,0.0030725077469504563
num__C3,C3,4.943243026733398,C,0.003059276116842639
num__V152,V152,4.763481140136719,V,0.0029480250123734317
num__C10,C10,4.719979286193848,C,0.0029211025685271404
num__V67,V67,4.606499671936035,V,0.002850872261870165
num__V283,V283,4.551884651184082,V,0.002817072097139497
cat__ProductCD_H,ProductCD,4.543230056762695,product,0.002811715938465703
num__V326,V326,4.543210983276367,V,0.0028117041342592595
num__V171,V171,4.521605014801025,V,0.0027983326243050852
num__V281,V281,4.407584190368652,V,0.0027277673732902723
num__V286,V286,4.405243873596191,V,0.0027263189971596397
num__V62,V62,4.3802490234375,V,0.002710850174825595
num__V172,V172,4.244681358337402,V,0.002626950006896583
num__V159,V159,4.2097063064575195,V,0.0026053046335409126
num__V224,V224,4.178811073303223,V,0.002586184179943533
num__V217,V217,4.126617431640625,V,0.002553882559220883
num__V108,V108,4.068197250366211,V,0.0025177274553047123
cat__id_35_T,id_35,4.064696311950684,identity,0.0025155607932119853
