threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.01,0.07028341688588872,0.9458917835671342,0.1308445758639808,2832,37462,44974,162,40294,1343.1333333333334,94.4
0.015,0.08836471882482366,0.9121576486305946,0.16112094395280235,2731,28175,54261,263,30906,1030.2,91.03333333333333
0.02,0.10619327495901804,0.8871075484301937,0.18968041421174792,2656,22355,60081,338,25011,833.7,88.53333333333333
0.025,0.12210986089350995,0.8590514362057449,0.21382549777611506,2572,18491,63945,422,21063,702.1,85.73333333333333
0.03,0.13656435697541297,0.8366733466933868,0.23480339316679943,2505,15838,66598,489,18343,611.4333333333333,83.5
0.035,0.15083867784903798,0.8169672678690715,0.25465903175429466,2446,13770,68666,548,16216,540.5333333333333,81.53333333333333
0.04,0.16444291609353506,0.7985971943887775,0.2727272727272727,2391,12149,70287,603,14540,484.6666666666667,79.7
0.045,0.1769831047806652,0.7802271209084837,0.28851973074785403,2336,10863,71573,658,13199,439.96666666666664,77.86666666666666
0.05,0.18883659483114523,0.7638610554442218,0.3028136378682555,2287,9824,72612,707,12111,403.7,76.23333333333333
0.055,0.1995895788722341,0.7471609886439545,0.31502605266863815,2237,8971,73465,757,11208,373.6,74.56666666666666
0.06,0.21251692783904044,0.7338009352037408,0.32958295829582956,2197,8141,74295,797,10338,344.6,73.23333333333333
0.065,0.22542690545605998,0.7231128924515698,0.3437053500555644,2165,7439,74997,829,9604,320.1333333333333,72.16666666666667
0.07,0.23780351971485855,0.7130928523714095,0.3566655529568994,2135,6843,75593,859,8978,299.26666666666665,71.16666666666667
0.075,0.24849201655824957,0.7017368069472278,0.36701895362040354,2101,6354,76082,893,8455,281.8333333333333,70.03333333333333
0.08,0.2621580547112462,0.6913827655310621,0.38016528925619836,2070,5826,76610,924,7896,263.2,69.0
0.085,0.2749832327297116,0.6847027388109552,0.39238204612881616,2050,5405,77031,944,7455,248.5,68.33333333333333
0.09,0.2934045316784529,0.6790247160988644,0.4097551143807316,2033,4896,77540,961,6929,230.96666666666667,67.76666666666667
0.095,0.3081288343558282,0.6710086840347361,0.4223249947445869,2009,4511,77925,985,6520,217.33333333333334,66.96666666666667
