threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.01,0.07652620129960677,0.9514563106796117,0.1416587078289151,2744,33113,49047,140,35857,1195.2333333333333,91.46666666666667
0.015,0.10148711545010784,0.9299583911234397,0.18300296816894682,2682,23745,58415,202,26427,880.9,89.4
0.02,0.12532188841201716,0.9112343966712899,0.22034040412509434,2628,18342,63818,256,20970,699.0,87.6
0.025,0.14738410406280442,0.8918169209431346,0.25296287189574623,2572,14879,67281,312,17451,581.7,85.73333333333333
0.03,0.16871350916045902,0.8717059639389736,0.28271014900196795,2514,12387,69773,370,14901,496.7,83.8
0.035,0.18977877129422646,0.8536754507628294,0.3105253200479284,2462,10511,71649,422,12973,432.43333333333334,82.06666666666666
0.04,0.21066433566433568,0.8356449375866851,0.33649818486456295,2410,9030,73130,474,11440,381.3333333333333,80.33333333333333
0.045,0.2297323506594259,0.8214285714285714,0.3590481964231585,2369,7943,74217,515,10312,343.73333333333335,78.96666666666667
0.05,0.24882528833831696,0.8079056865464632,0.3804702808621816,2330,7034,75126,554,9364,312.1333333333333,77.66666666666667
0.055,0.2671711292200233,0.7957697642163661,0.4000348614258322,2295,6295,75865,589,8590,286.3333333333333,76.5
0.06,0.28366654092795174,0.782246879334258,0.4163513887607272,2256,5697,76463,628,7953,265.1,75.2
0.065,0.30010819583446036,0.7694174757281553,0.4317960692741778,2219,5175,76985,665,7394,246.46666666666667,73.96666666666667
0.07,0.31470335339638866,0.7614424410540915,0.4453457716487528,2196,4782,77378,688,6978,232.6,73.2
0.075,0.3308935651113144,0.7524271844660194,0.4596483795805973,2170,4388,77772,714,6558,218.6,72.33333333333333
0.08,0.34576271186440677,0.7427184466019418,0.47185813415574407,2142,4053,78107,742,6195,206.5,71.4
0.085,0.3592100783112019,0.731622746185853,0.4818451701301667,2110,3764,78396,774,5874,195.8,70.33333333333333
0.09,0.37268643306379157,0.7191400832177531,0.4909456740442656,2074,3491,78669,810,5565,185.5,69.13333333333334
0.095,0.3845575803118542,0.7097780859916782,0.4988424515657366,2047,3276,78884,837,5323,177.43333333333334,68.23333333333333
0.1,0.3990517581983406,0.7004160887656034,0.5084319154291467,2020,3042,79118,864,5062,168.73333333333332,67.33333333333333
0.105,0.413187267465895,0.6931345353675451,0.5177415177415178,1999,2839,79321,885,4838,161.26666666666668,66.63333333333334
0.11,0.42351426732460845,0.6844660194174758,0.5232604373757456,1974,2687,79473,910,4661,155.36666666666667,65.8
0.115,0.43478260869565216,0.6761442441054092,0.5292441308182928,1950,2535,79625,934,4485,149.5,65.0
0.12,0.44697145509398933,0.6678224687933426,0.5355206450715974,1926,2383,79777,958,4309,143.63333333333333,64.2
0.125,0.45749279538904897,0.6605409153952844,0.5405788876276958,1905,2259,79901,979,4164,138.8,63.5
0.13,0.46943339960238567,0.65499306518724,0.5469021424435437,1889,2135,80025,995,4024,134.13333333333333,62.96666666666667
0.135,0.4797643442622951,0.6494452149791956,0.5518562168532704,1873,2031,80129,1011,3904,130.13333333333333,62.43333333333333
0.14,0.4890472420163632,0.6425104022191401,0.5553723962235877,1853,1936,80224,1031,3789,126.3,61.766666666666666
0.145,0.5,0.6355755894590847,0.5596946564885497,1833,1833,80327,1051,3666,122.2,61.1
0.15,0.5104108047270681,0.628987517337032,0.563529046287667,1814,1740,80420,1070,3554,118.46666666666667,60.46666666666667
0.155,0.5209962351578338,0.6237864077669902,0.567776550418179,1799,1654,80506,1085,3453,115.1,59.96666666666667
0.16,0.5338526063511084,0.6178918169209431,0.5728061716489874,1782,1556,80604,1102,3338,111.26666666666667,59.4
0.165,0.5458179581795818,0.6154646324549237,0.5785528031290743,1775,1477,80683,1109,3252,108.4,59.166666666666664
0.17,0.5547880690737833,0.6126907073509015,0.5823035096391498,1767,1418,80742,1117,3185,106.16666666666667,58.9
