threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.01,0.06810018326206475,0.9663661581137309,0.12723412997329317,2787,38138,44022,97,40925,1364.1666666666667,92.9
0.015,0.0875881841316883,0.9427877947295423,0.16028531847790847,2719,28324,53836,165,31043,1034.7666666666667,90.63333333333334
0.02,0.10891089108910891,0.9230235783633842,0.19483276000878283,2662,21780,60380,222,24442,814.7333333333333,88.73333333333333
0.025,0.1296407485239668,0.8984049930651873,0.2265850459116747,2591,17395,64765,293,19986,666.2,86.36666666666666
0.03,0.14993450041681552,0.8730929264909847,0.2559203171053969,2518,14276,67884,366,16794,559.8,83.93333333333334
0.035,0.17094786401717094,0.8561026352288488,0.28498874588792056,2469,11974,70186,415,14443,481.43333333333334,82.3
0.04,0.1911694888431714,0.8377253814147018,0.31130009019456256,2416,10222,71938,468,12638,421.26666666666665,80.53333333333333
0.045,0.2111734830259289,0.8217753120665742,0.33600340256610195,2370,8853,73307,514,11223,374.1,79.0
0.05,0.23176050753370342,0.8106796116504854,0.3604687018193032,2338,7750,74410,546,10088,336.26666666666665,77.93333333333334
0.055,0.2507091424830897,0.7968099861303745,0.3814107883817427,2298,6868,75292,586,9166,305.53333333333336,76.6
0.06,0.2686779902601259,0.7843273231622746,0.4002477218437583,2262,6157,76003,622,8419,280.6333333333333,75.4
0.065,0.28727928856811447,0.7728848821081831,0.41886686084750546,2229,5530,76630,655,7759,258.6333333333333,74.3
0.07,0.30254910154617637,0.753120665742025,0.43168041339560764,2172,5007,77153,712,7179,239.3,72.4
0.075,0.3181953988646549,0.7385575589459085,0.4447692628941324,2130,4564,77596,754,6694,223.13333333333333,71.0
0.08,0.33476394849785407,0.7302357836338419,0.45907356948228883,2106,4185,77975,778,6291,209.7,70.2
0.085,0.3484185733512786,0.7180998613037448,0.46918894426823754,2071,3873,78287,813,5944,198.13333333333333,69.03333333333333
0.09,0.3641876226145889,0.7080443828016644,0.48097986102932516,2042,3565,78595,842,5607,186.9,68.06666666666666
0.095,0.37727357959872493,0.6976421636615812,0.48971644152367044,2012,3321,78839,872,5333,177.76666666666668,67.06666666666666
0.1,0.3901098901098901,0.6893203883495146,0.49824561403508766,1988,3108,79052,896,5096,169.86666666666667,66.26666666666667
0.105,0.40245649948822926,0.6816920943134536,0.506114042991376,1966,2919,79241,918,4885,162.83333333333334,65.53333333333333
0.11,0.41350660417554325,0.6730235783633842,0.5122723673792557,1941,2753,79407,943,4694,156.46666666666667,64.7
0.115,0.4268862675272646,0.6650485436893204,0.5199945777416294,1918,2575,79585,966,4493,149.76666666666668,63.93333333333333
0.12,0.4406032482598608,0.6584604715672677,0.5279399499582986,1899,2411,79749,985,4310,143.66666666666666,63.3
0.125,0.4544358727097396,0.6536061026352289,0.5361205915813425,1885,2263,79897,999,4148,138.26666666666668,62.833333333333336
0.13,0.4658151765589782,0.6449375866851595,0.5409335466046241,1860,2133,80027,1024,3993,133.1,62.0
0.135,0.4760672703751617,0.6380027739251041,0.5452659653281968,1840,2025,80135,1044,3865,128.83333333333334,61.333333333333336
0.14,0.4863782051282051,0.6314147018030514,0.5494870247435124,1821,1923,80237,1063,3744,124.8,60.7
0.145,0.4955995599559956,0.6248266296809986,0.5527607361963189,1802,1834,80326,1082,3636,121.2,60.06666666666667
0.15,0.5053916004540295,0.6175450762829403,0.5558676654182273,1781,1743,80417,1103,3524,117.46666666666667,59.36666666666667
0.155,0.5151691948658109,0.6123439667128987,0.5595690747782003,1766,1662,80498,1118,3428,114.26666666666667,58.86666666666667
0.16,0.5256525652565257,0.6074895977808599,0.563615891909281,1752,1581,80579,1132,3333,111.1,58.4
0.165,0.5333743463549677,0.6012482662968099,0.5652811735941321,1734,1517,80643,1150,3251,108.36666666666666,57.8
0.17,0.5424424108551593,0.5960471567267683,0.5679828184371386,1719,1450,80710,1165,3169,105.63333333333334,57.3
0.175,0.5495001612383102,0.5908460471567267,0.5694235588972432,1704,1397,80763,1180,3101,103.36666666666666,56.8
0.18,0.560701290109163,0.5877253814147018,0.5738953783646521,1695,1328,80832,1189,3023,100.76666666666667,56.5
0.185,0.5693974272173324,0.5832177531206657,0.5762247344981157,1682,1272,80888,1202,2954,98.46666666666667,56.06666666666667
0.19,0.5750258709899966,0.5780166435506241,0.5765173785232578,1667,1232,80928,1217,2899,96.63333333333334,55.56666666666667
0.195,0.5836562169778091,0.5745492371705964,0.5790669229425127,1657,1182,80978,1227,2839,94.63333333333334,55.233333333333334
0.2,0.594954954954955,0.5724687933425797,0.5834953171938505,1651,1124,81036,1233,2775,92.5,55.03333333333333
0.205,0.5994130594277329,0.5665742024965326,0.5825311942959002,1634,1092,81068,1250,2726,90.86666666666666,54.46666666666667
0.21,0.605765630849869,0.5610263522884882,0.5825382538253825,1618,1053,81107,1266,2671,89.03333333333333,53.93333333333333
0.215,0.6130634071810542,0.5565187239944521,0.5834242093784078,1605,1013,81147,1279,2618,87.26666666666667,53.5
0.22,0.6204351204351204,0.5537447988904299,0.5851960425064126,1597,977,81183,1287,2574,85.8,53.233333333333334
0.225,0.6279161724001582,0.550624133148405,0.5867356364308146,1588,941,81219,1296,2529,84.3,52.93333333333333
0.23,0.6337630942788074,0.5454230235783634,0.5862840104360789,1573,909,81251,1311,2482,82.73333333333333,52.43333333333333
0.235,0.6401143790849673,0.5433425797503467,0.5877719429857465,1567,881,81279,1317,2448,81.6,52.233333333333334
0.24,0.6479166666666667,0.5391816920943134,0.5885692657077971,1555,845,81315,1329,2400,80.0,51.833333333333336
0.245,0.6541385135135135,0.5371012482662968,0.5898705255140898,1549,819,81341,1335,2368,78.93333333333334,51.63333333333333
0.25,0.660077352814783,0.5325936199722607,0.5895221646516983,1536,791,81369,1348,2327,77.56666666666666,51.2
0.255,0.6675427069645203,0.5284327323162274,0.5898974259725179,1524,759,81401,1360,2283,76.1,50.8
0.26,0.6748329621380846,0.5253120665742025,0.5907584324429713,1515,730,81430,1369,2245,74.83333333333333,50.5
