axis,setting,train_pr_auc,val_pr_auc,gap,val_roc_auc,val_recall_at_p90,fit_seconds,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators
anchor,anchor,0.9272557335004963,0.6189589935817271,0.30829673991876916,0.9322722075224149,0.3287101248266297,81.19782145800127,,,,,,,,
max_depth,max_depth=3,0.6643460773308608,0.5178089408996955,0.14653713643116528,0.8951704274971066,0.21601941747572814,42.91931516600016,3.0,,,,,,,
max_depth,max_depth=6,0.8461725609300756,0.591559866251882,0.2546126946781937,0.9237027105866973,0.29750346740638,65.30001458300103,6.0,,,,,,,
max_depth,max_depth=12,0.9893542526389619,0.6287582569837065,0.36059599565525546,0.9329594638417377,0.33841886269070737,111.75895337499969,12.0,,,,,,,
learning_rate,learning_rate=0.02,0.8356904429301135,0.5915732481263305,0.24411719480378302,0.9266885142248068,0.2884882108183079,78.67881062500237,,0.02,,,,,,
learning_rate,learning_rate=0.15,0.9936357097886572,0.6180585605058853,0.37557714928277197,0.9260470714765143,0.34674063800277394,82.25664279099874,,0.15,,,,,,
min_child_weight,min_child_weight=1,0.9566007018596866,0.6240306475580248,0.33257005430166175,0.9318590075587433,0.3141470180305132,90.49039837500459,,,1.0,,,,,
min_child_weight,min_child_weight=20,0.8674209977895015,0.5993728437055064,0.2680481540839952,0.9270849152460542,0.3044382801664355,70.71368608399644,,,20.0,,,,,
min_child_weight,min_child_weight=100,0.7658140659654993,0.5555049504394401,0.21030911552605913,0.9128636999521922,0.2593619972260749,73.04146712499642,,,100.0,,,,,
subsample,subsample=0.5,0.9207279330166583,0.6101534925657884,0.3105744404508699,0.9309998010546048,0.30374479889042993,80.53819741700136,,,,0.5,,,,
subsample,subsample=1.0,0.9197757035886537,0.6160949737207276,0.30368072986792605,0.9306726236618242,0.3231622746185853,77.70464012500452,,,,1.0,,,,
colsample_bytree,colsample_bytree=0.2,0.9091565463261708,0.6041960755669268,0.30496047075924404,0.9291951143670143,0.30859916782246877,72.3630776669961,,,,,0.2,,,
colsample_bytree,colsample_bytree=1.0,0.9388472046453701,0.6209944405590027,0.3178527640863674,0.9310174968128223,0.3196948682385576,81.37160595800378,,,,,1.0,,,
reg_alpha,reg_alpha=0.0,0.9185008382175484,0.6133355562110557,0.3051652820064926,0.9306939087933696,0.31588072122052707,73.3378578329939,,,,,,0.0,,
reg_alpha,reg_alpha=10.0,0.9047408353754558,0.6171963385199817,0.2875444968554741,0.9323791649391533,0.3058252427184466,97.87717120799789,,,,,,10.0,,
reg_lambda,reg_lambda=10.0,0.8999583629344848,0.6110736128652763,0.28888475006920855,0.9301975349677973,0.31484049930651875,84.02185949999694,,,,,,,10.0,
reg_lambda,reg_lambda=100.0,0.8366364296502635,0.5898994881203234,0.24673694152994008,0.9258137347781873,0.27565880721220526,102.14764287500293,,,,,,,100.0,
overfit,overfit,0.9999983043254712,0.6268481618579044,0.37315014246756684,0.9202902758495651,0.3658113730929265,162.09761670800071,12.0,0.15,1.0,1.0,1.0,0.0,1.0,800.0
regularised,regularised,0.9214293939410809,0.6160447582681029,0.305384635672978,0.9304749105969612,0.32038834951456313,141.9457908330005,12.0,0.05,20.0,0.8,0.5,1.0,10.0,800.0
