threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.01,62842.86200000001,1374099.8587000002,1436942.7207000002,7095,75351,435,0.4335612116112747,0.08605632777818208,0.9422310756972112,0.15770872232595357
0.015,112995.506,1010793.4680999999,1123788.9741,6839,54380,691,0.3219341607067732,0.11171368366030154,0.9082337317397078,0.19895562117267163
0.02,163266.22999999998,792437.3746,955703.6046,6590,42118,940,0.2561421960454354,0.13529604993019628,0.8751660026560425,0.2343611081475159
0.025,202942.12,637435.3297,840377.4497,6409,33877,1121,0.21185317627261255,0.15908752420195602,0.851128818061089,0.2680692655178183
0.03,233669.39800000002,535275.0691,768944.4671,6254,28287,1276,0.18164177534707615,0.1810601893402044,0.8305444887118194,0.2973069335171496
0.035,267468.548,453911.0528,721379.6008,6106,23984,1424,0.1582351703828355,0.20292455965437023,0.8108897742363878,0.3246145667198299
0.04,288308.47699999996,394090.2477,682398.7246999999,5991,20845,1539,0.141123264619268,0.2232448949172753,0.7956175298804781,0.3486585578769714
0.045,314338.315,347063.731,661402.0460000001,5882,18283,1648,0.1270771981489272,0.24340989033726465,0.7811420982735724,0.3711626439501499
0.05,336717.177,305038.93480000005,641756.1118000001,5769,16229,1761,0.11568153134202777,0.2622511137376125,0.7661354581673306,0.3907477648333784
0.055,357174.27599999995,271654.5542,628828.8302,5676,14532,1854,0.10626840555321834,0.2808788598574822,0.7537848605577689,0.40925805753839495
0.06,378698.248,244544.06089999998,623242.3089000001,5579,13136,1951,0.09841712242322255,0.2981031258348918,0.7409030544488712,0.4251476471708897
0.065,391392.374,221380.7965,612773.1705,5506,11961,2024,0.09185422801851073,0.315222991927635,0.7312084993359894,0.44053286394367325
0.07,408579.108,201791.0523,610370.1603,5428,10915,2102,0.08594341607067732,0.33212996389891697,0.7208499335989376,0.4547396640556277
0.075,421382.405,184263.1214,605645.5264000001,5374,10010,2156,0.0809002944888515,0.34932397295891837,0.7136786188579017,0.46905821768351236
0.08,433202.745,168492.783,601695.5279999999,5304,9252,2226,0.07654606647034076,0.36438582028029676,0.7043824701195219,0.48030426514534086
0.085,450327.35,154999.9267,605327.2767,5235,8583,2295,0.07266512410601599,0.37885366912722535,0.6952191235059761,0.4904440697020799
0.09,462313.82000000007,142891.8562,605205.6762000001,5180,7982,2350,0.06921539755994952,0.39355721015043305,0.6879150066401063,0.5006765899864682
0.095,473725.451,132082.178,605807.629,5133,7463,2397,0.06623895666806899,0.4075103207367418,0.6816733067729084,0.5100864553314122
0.1,487149.02100000007,122998.6167,610147.6377000001,5087,6955,2443,0.06332562053007994,0.422438133200465,0.6755644090305445,0.5198242387083589
0.105,499489.25599999994,115995.5393,615484.7952999999,5026,6541,2504,0.06082772402187631,0.43451197371833666,0.6674634794156706,0.5263653977064461
0.11,509781.16500000004,107930.67360000001,617711.8386,4977,6136,2553,0.05844026083298275,0.4478538648429767,0.6609561752988048,0.5339269430885587
0.115,517412.779,100780.07750000001,618192.8565,4932,5751,2598,0.05617900715187211,0.46166807076663857,0.6549800796812749,0.5415911711414922
0.12,532085.882,95095.71470000001,627181.5967,4875,5454,2655,0.05431741691207404,0.4719721173395295,0.647410358565737,0.5459432219049217
0.125,547507.742,90380.8649,637888.6069,4837,5191,2693,0.05273453933529659,0.4823494216194655,0.6423638778220452,0.5509739150244903
0.13,554379.077,84709.7513,639088.8283,4801,4915,2729,0.051093815734118635,0.49413338822560726,0.6375830013280213,0.5567667865012177
0.135,561040.0789999999,79948.95580000001,640989.0347999999,4771,4667,2759,0.04963188893563315,0.5055096418732782,0.6335989375830013,0.5623526638378123
0.14,573150.069,75386.8009,648536.8699,4725,4424,2805,0.04811211611274716,0.5164498852333589,0.6274900398406374,0.5665807302596079
0.145,580743.159,72311.232,653054.391,4691,4213,2839,0.04682372738746319,0.5268418688230009,0.6229747675962816,0.5708896190823901
0.15,593294.9890000001,68667.99530000001,661962.9843000001,4656,4029,2874,0.04567206562894405,0.5360967184801382,0.6183266932270917,0.5742830712303423
0.155,598962.613,65056.5908,664019.2038,4628,3848,2902,0.044572991165334454,0.5460122699386503,0.6146082337317397,0.578283143821067
