threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.01,62816.596,1432465.911,1495282.507,7094,78913,436,0.4522875473285654,0.08248165846965945,0.9420982735723772,0.1516832911040551
0.015,106828.25,1074640.8084,1181469.0584,6860,58195,670,0.34210664703407656,0.10544923526247021,0.9110225763612217,0.1890197699249156
0.02,149086.40099999998,847899.9630000001,996986.3640000001,6639,45330,891,0.2732909129154396,0.12774923512093747,0.8816733067729083,0.22316341451116822
0.025,192295.654,687429.8319999999,879725.4859999999,6436,36585,1094,0.22623580143037442,0.1496013574765812,0.854714475431607,0.2546339340468042
0.03,217494.62300000002,571126.8662,788621.4892000001,6289,30236,1241,0.19207509465713082,0.17218343600273786,0.8351925630810093,0.2855067529224833
0.035,250241.93899999998,483945.46920000005,734187.4082000001,6134,25605,1396,0.16690681531342028,0.19326380793345727,0.8146082337317397,0.31240927958440506
0.04,273022.185,419869.58330000006,692891.7683000001,6010,22044,1520,0.14752839713925114,0.21422969986454696,0.798140770252324,0.3377922661870503
0.045,295529.689,367684.1037,663213.7927,5892,19299,1638,0.13247265460664703,0.23389305704418245,0.7824701195219124,0.3601356926744293
0.05,314151.591,324293.2123,638444.8033,5789,16944,1741,0.11954669751787968,0.25465182773940964,0.7687915006640106,0.3825793873707166
0.055,333360.949,287789.3923,621150.3413,5694,15077,1836,0.109229070256626,0.27413220355303064,0.7561752988047808,0.40238860817638955
0.06,356179.24399999995,256969.7314,613148.9753999999,5592,13531,1938,0.10056268405553219,0.2924227370182503,0.7426294820717132,0.4196150527145162
0.065,374275.38099999994,232532.8548,606808.2357999999,5501,12242,2029,0.09330563735801431,0.3100377613706814,0.7305444887118194,0.43532623748664584
0.07,386165.26800000004,211695.8443,597861.1123,5433,11168,2097,0.08730016827934371,0.3272694415999036,0.7215139442231076,0.45029215531888445
0.075,406443.01,193735.2599,600178.2699,5356,10238,2174,0.08200462768195205,0.34346543542388097,0.7112881806108897,0.4632416536931327
0.08,427713.35400000005,177091.6795,604805.0335,5282,9378,2248,0.07709297433740009,0.360300136425648,0.701460823373174,0.47607030193780975
0.085,443684.1,163398.9762,607083.0762,5212,8626,2318,0.07277029869583508,0.3766440237028472,0.6921646746347941,0.48783227255709477
0.09,466067.156,151853.7451,617920.9011,5149,8024,2381,0.06927324358435002,0.39087527518408866,0.6837981407702524,0.4974158334540888
