threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.01,58971.066,1443786.9652,1502758.0312,7117,79313,413,0.4545119899032394,0.08234409348605808,0.9451527224435591,0.15148999574286928
0.015,103883.824,1078977.0721,1182860.8961,6882,58212,648,0.34231173748422383,0.10572402986450365,0.9139442231075697,0.18952412425644416
0.02,145938.387,846169.4857000001,992107.8727000001,6653,45091,877,0.27210769877997476,0.12857529375386517,0.8835325365205843,0.22448290987616829
0.025,180293.131,689345.9170000001,869639.0480000002,6475,36341,1055,0.22515776188472866,0.15122851270553064,0.8598937583001328,0.2572200373415961
0.03,210343.47100000002,578451.419,788794.89,6287,30181,1243,0.1917753470761464,0.17239771854776792,0.8349269588313413,0.28578571753261517
0.035,243830.58800000002,491700.01180000004,735530.5998000001,6153,25563,1377,0.1667858645351283,0.19400302686341278,0.8171314741035857,0.31356061764256227
0.04,264578.307,426750.19539999997,691328.5023999999,6008,22028,1522,0.14743374000841397,0.21429590526465972,0.7978751660026561,0.337850756340325
0.045,287840.31999999995,374212.4713,662052.7912999999,5886,19238,1644,0.13212031973075306,0.2342779812131826,0.7816733067729084,0.3605071354198567
0.05,309765.497,327529.9245,637295.4214999999,5777,16922,1753,0.11936790071518721,0.2545046037270364,0.7671978751660027,0.3822157530847861
0.055,330202.049,291248.9176,621450.9665999999,5672,15076,1858,0.10910811947833403,0.2733757470599576,0.753253652058433,0.40115991229931397
0.06,352672.909,260814.85470000003,613487.7637,5581,13577,1949,0.10074673958771561,0.2913143334377284,0.7411686586985392,0.4182404076738609
0.065,377307.898,234819.28269999998,612127.1806999999,5493,12305,2037,0.09359486748001683,0.3086301831666479,0.7294820717131474,0.43374921036007574
0.07,393983.798,213142.3428,607126.1408,5424,11201,2106,0.08742637778712663,0.32625563909774435,0.7203187250996016,0.4490995653073898
0.075,414968.554,195361.3702,610329.9242,5352,10252,2178,0.0820572149768616,0.3429889771853371,0.7107569721115538,0.46269559955044526
0.08,427715.73199999996,178563.2342,606278.9661999999,5283,9456,2247,0.07750841396718552,0.3584368003256666,0.701593625498008,0.4744712380439176
0.085,438833.49100000004,163673.8258,602507.3168,5223,8731,2307,0.07338031131678587,0.37430127561989396,0.6936254980079681,0.4862223049711413
0.09,452447.10599999997,150711.73570000002,603158.8417,5162,8051,2368,0.06948359276398822,0.3906758495421176,0.6855245683930943,0.49771007086728053
0.095,473655.799,140386.4507,614042.2497,5096,7522,2434,0.06635464871687001,0.4038674908860358,0.6767596281540504,0.5058566607107405
0.1,486418.675,130141.077,616559.752,5041,7019,2489,0.06342027766091712,0.4179933665008292,0.6694555112881806,0.5146503318019399
0.105,494838.931,121743.2854,616582.2164,5000,6583,2530,0.0609118636937316,0.431667098333765,0.6640106241699867,0.523204101920159
0.11,507893.731,115218.73760000001,623112.4686,4939,6198,2591,0.05856647034076567,0.44347669929065275,0.6559096945551128,0.5291691219799647
0.115,525844.498,108134.79560000001,633979.2936,4886,5833,2644,0.05636832141354649,0.45582610318126693,0.648871181938911,0.53548139624089
0.12,536308.8999999999,99268.0221,635576.9220999999,4847,5473,2683,0.05427008834665545,0.46967054263565894,0.6436918990703852,0.5430812324929972
0.125,544140.513,93973.2843,638113.7973,4807,5190,2723,0.05257151872107699,0.4808442532759828,0.6383798140770253,0.548525132652479
0.13,556478.9199999999,88936.68100000001,645415.6009999999,4769,4940,2761,0.05105700462768195,0.4911937377690802,0.6333333333333333,0.553280352688671
0.135,565784.1950000001,82272.18359999999,648056.3786,4720,4690,2810,0.04948464450988641,0.5015940488841658,0.6268260292164675,0.5572609208972845
0.14,572157.854,78012.1839,650170.0379000001,4686,4450,2844,0.04804375262936474,0.5129159369527145,0.6223107569721116,0.562342493699748
0.145,579450.738,74062.2476,653512.9856,4648,4256,2882,0.04682372738746319,0.5220125786163522,0.6172642762284196,0.5656565656565656
