trial,cv_pr_auc_mean,cv_pr_auc_std,eval_metric,n_jobs,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha
trial_08,0.6258539355883692,0.016617069389505468,aucpr,8,800,0.05,8,5,0.8,0.5,1.0,1.0
trial_10,0.6198132773755464,0.013827993362269586,aucpr,8,800,0.05,8,5,1.0,0.5,1.0,0.0
trial_05,0.6164428882456394,0.01940083242882723,aucpr,8,800,0.05,8,1,1.0,0.5,20.0,0.0
trial_03,0.6154201844698441,0.017581563384056365,aucpr,8,400,0.05,8,1,0.6,0.7,5.0,1.0
trial_14,0.6119683889849321,0.021315613254191512,aucpr,8,400,0.1,10,1,0.6,0.3,1.0,0.0
reference,0.6070437972934244,0.016638396362080365,aucpr,8,600,0.05,6,5,0.8,0.6,1.0,
trial_12,0.6067164909817141,0.017986769693856264,aucpr,8,400,0.1,10,50,1.0,0.5,1.0,1.0
trial_11,0.5993097352029655,0.013060659408792807,aucpr,8,400,0.05,10,20,0.6,0.3,20.0,1.0
trial_07,0.5971585733221783,0.010489076474031411,aucpr,8,400,0.1,6,20,0.6,0.3,1.0,1.0
trial_09,0.5968211257769953,0.01592031460677762,aucpr,8,1200,0.1,4,5,1.0,0.7,1.0,0.0
trial_06,0.5955659705936409,0.014297531874492841,aucpr,8,800,0.02,8,20,1.0,0.3,20.0,0.0
trial_01,0.5927291361047222,0.007966825987549386,aucpr,8,1200,0.1,4,50,0.6,0.3,1.0,0.0
trial_15,0.5892009623542975,0.010789717839952306,aucpr,8,1200,0.05,4,50,0.8,0.7,5.0,1.0
trial_04,0.5871750640577615,0.015597747209866786,aucpr,8,800,0.02,6,20,0.6,0.3,5.0,0.0
trial_02,0.580328322033278,0.010555618586739535,aucpr,8,400,0.1,4,5,1.0,0.7,20.0,1.0
trial_00,0.576311172479365,0.013948522368726401,aucpr,8,1200,0.02,4,20,0.6,0.3,1.0,0.0
trial_13,0.5731773904901671,0.012346393375714304,aucpr,8,400,0.02,8,50,1.0,0.5,5.0,0.0
