TransactionID,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
2987000,205022,6.0,R,11128,346.3,164.8,discover,467.7,debit,113.7,42.3,,,hotmail.com,anonymous.com,13.0,10.0,11.0,10.0,16.0,17.0,5.0,12.0,15.0,4.0,7.0,1.0,5.0,5.0,315.9,326.9,101.3,559.7,554.6,273.3,,407.6,,329.6,,235.8,,,,,,,M1,F,F,,,,1.3,4.9,,,,,4.4,1.3,,,,,,,,,0.6,,1.0,,,3.4,0.6,,0.2,,,,,4.1,,,,,,3.0,,,,0.3,1.7,,,,,,1.9,,,,3.0,,,,,0.1,,3.3,4.8,,,,,,,,,,,,,,4.4,,,1.0,,0.2,,2.2,4.4,0.1,,0.2,,0.8,1.4,,,,,,,1.3,2.7,2.9,,,,,,,,0.3,,,,,,,,,,2.7,,,,1.6,,,2.2,,2.6,3.5,,3.8,2.4,,,,,,0.5,,,,3.4,,,,1.2,0.5,,,,,,,,,2.7,3.1,,,1.7,,,,,,1.2,,,,,1.0,,3.2,,,2.9,,1.4,,,,,,,,,,,,,,3.2,4.7,,,,2.4,,,,,,,,,2.2,2.1,,1.8,4.7,2.4,,4.0,,,,,3.7,,,4.1,,1.9,,1.2,,,,2.5,,,,2.4,,,,,,,1.4,,,,,,4.4,,1.5,3.6,,0.7,,0.9,4.0,,,,4.9,,,,,,,2.4,,,,4.6,,4.6,,,,,,2.1,,,,,,,,,,,4.2,,,,,,,,2.6,,,0.6,,,,2.5,,,,0.0,,4.9,2.5,2.3,,3.8,3.6,1.7,,,,1.0,1.3,,,,,,,1.8,,,,,,0.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987001,236734,7.37,H,8082,302.4,105.5,discover,326.7,credit,427.5,19.8,2042.1,,gmail.com,,8.0,10.0,17.0,4.0,10.0,5.0,16.0,13.0,18.0,9.0,16.0,11.0,18.0,17.0,517.6,551.2,,,,,,,178.4,208.3,395.7,,259.6,,12.7,T,F,T,M2,T,F,T,T,,,,,,,,,,,,4.6,0.4,,,2.4,,,,,,3.1,,,3.4,,1.3,2.2,,,,0.7,,3.2,,,1.1,,1.3,3.6,,,,,,0.6,,,,0.8,,,,4.0,,,,,,,,,,,,3.2,,1.4,,,4.7,,,,,2.6,0.1,,4.8,1.4,,,,,3.9,2.4,,,,,,,,,,,,,,,,,,,2.1,,,3.0,,,3.2,,,,0.3,,,,0.3,,,,,,2.9,3.7,4.1,,0.5,3.0,0.6,,3.7,3.9,2.7,2.5,2.4,,1.2,0.8,,,,4.8,,2.9,2.4,,,2.0,,,,1.0,,,1.9,4.4,,,,,,,3.3,,,,4.5,,,3.3,1.4,,3.2,2.6,,1.1,0.2,,,2.7,,4.6,4.3,,0.4,0.9,,,,,,,,,4.8,,,,,,1.8,4.3,0.1,3.6,,,2.8,3.1,,,,,,1.9,1.4,,,,,5.0,0.6,,,,,0.0,2.0,,,3.2,,,,,,,0.4,,,3.7,,,,,2.8,,,,,,,,,0.9,3.3,,,0.7,,,,,3.0,,,,2.2,,,,,,,,,,,,,1.3,4.8,0.1,,,2.9,,,,,4.8,,2.1,3.7,2.9,,,,,1.5,,,4.5,,,,4.7,,,,,,,,,,,,,,0.1,,0.2,,1.7,4.4,,1.5,,2.5,,,,4.5,,0.2,,4.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987002,305503,176.2,S,15606,527.1,571.0,discover,172.6,credit,246.1,86.2,,,hotmail.com,yahoo.com,11.0,9.0,9.0,16.0,10.0,16.0,14.0,7.0,3.0,2.0,16.0,4.0,17.0,4.0,,110.7,294.6,,382.8,,296.7,,177.3,581.2,494.4,,169.1,,505.2,,,F,M2,F,T,,,T,,0.8,,,0.8,,3.4,1.8,,,,,,,3.5,0.2,,0.3,,4.0,,,,0.2,4.8,,,,,,2.3,,,4.4,4.0,4.5,,,1.7,,,,1.2,,,,,1.6,,1.7,,3.2,,,0.2,,,0.4,,,,,,,,,,,,0.4,,,,,,,,,2.2,,1.0,4.7,,,2.1,1.7,,,1.2,,1.1,,,,,3.9,4.3,,,,,,,0.9,2.9,2.2,,,,,1.3,,,,4.7,,,3.8,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,3.0,,,,,4.5,,,,4.6,2.4,,,4.9,4.6,4.1,,0.8,,,,,,,,,3.7,,,,,,2.2,,,,1.7,4.5,,,,2.4,2.1,0.6,,0.1,,4.1,3.0,4.1,,,,,1.1,0.7,,,,,,,,,,,,,1.8,,,,,,3.3,,3.2,,,,,,,,,,,3.3,,,1.1,1.1,,,,,,,,1.8,,,,,4.7,,,1.4,,4.0,,1.7,3.6,,4.1,1.9,1.8,0.9,,,0.1,3.8,,,,,1.3,,1.4,,,1.6,,4.1,0.5,,,,,,,,,,,,,1.9,,4.5,,0.7,,0.7,,,,,,,0.1,,,,,,2.9,,,,,,0.9,,,,3.6,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987003,403381,43.96,W,2223,487.4,157.1,discover,236.6,debit,117.1,76.1,,,yahoo.com,,2.0,10.0,0.0,4.0,16.0,7.0,17.0,6.0,13.0,12.0,7.0,19.0,5.0,18.0,,,446.7,,346.2,2.1,185.5,,587.2,597.0,,539.2,21.5,,209.0,,,F,M2,T,,T,F,,,2.5,,,,3.8,,1.9,,0.8,,,,3.5,,2.9,,,,,,,2.2,3.9,,,,,,,,,,,,0.2,0.1,,,,,,,,,,,4.4,,0.3,,1.5,1.9,,0.8,,,,3.7,,,0.9,,4.0,2.2,,,,,,,,,,,,,1.5,4.6,,,3.6,,,,0.4,1.4,,2.3,1.0,,2.5,,,,,,1.9,,,,,,,4.3,,,4.8,,,,3.4,,,,,,,,,,3.1,3.8,,,,,,,4.1,,,,,3.7,,0.4,,,,,,,,,,,,,,,,,,,,,3.6,1.4,0.2,3.4,,,3.7,,,4.0,,,,0.9,,,,0.8,3.9,4.0,,,,0.8,,2.8,,0.7,,4.4,2.8,,,2.6,1.6,,,,,,4.4,,,1.0,,,4.9,,1.2,,,,,,3.8,,,,4.3,,,,,,,0.4,4.0,,,2.0,,,,2.9,,1.7,,,,,3.7,3.7,,,4.6,,4.6,,,1.6,,1.2,0.8,1.3,,,,4.7,,4.6,,,,,,,2.0,,2.5,,,,,3.8,,,,,,,,,,,,,,,3.3,,4.1,,,,,,,,,4.3,,,,,2.5,,,,0.8,,3.8,,,,,,,,,,0.3,,,,4.0,0.5,,,2.0,,,,2.3,,,,,,,3.9,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987004,433892,178.2,C,11710,175.2,301.9,mastercard,542.2,credit,366.6,99.2,,,,,1.0,2.0,8.0,15.0,8.0,5.0,1.0,17.0,6.0,13.0,17.0,2.0,8.0,6.0,90.1,210.2,250.4,406.1,,530.4,392.2,10.5,499.1,246.1,,445.4,,400.6,,F,T,,,T,,F,,,,,,,,4.5,,,,,1.9,,3.8,3.2,,,,,,,,,,3.2,4.4,,,,,0.1,,,,,,,,,,,,,1.4,4.3,,,,0.0,,,,,,,,4.4,,,0.2,,4.8,,,0.9,0.6,,,1.2,,,,,,2.1,2.0,,0.3,,,,,4.8,,2.2,,4.1,0.2,,,1.2,,3.7,,3.8,,2.7,1.0,,,,3.6,,,2.3,4.7,,,,,,3.9,4.9,,,,,3.5,,4.3,4.4,,,,,,2.1,3.6,0.6,,1.8,,,3.0,,1.1,,,3.6,,,3.5,,,,2.4,,,,0.4,1.1,,,1.5,,,4.6,0.7,1.2,,,,,,,,3.5,,5.0,,,,,,,,,,1.1,,,,,,,,,,,,,,,,1.4,,,0.6,,,0.1,,3.2,,,0.7,,,,,0.8,,,,,,0.8,,,,,,0.1,,,,3.7,,,2.1,1.0,,,,,,1.0,,0.1,,,,,2.9,0.3,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.5,,3.4,2.3,,,2.6,0.7,,3.5,,,4.8,,3.8,,,2.3,,,,,0.6,1.2,3.6,,3.3,,,,,3.4,,3.6,2.1,,,,,,,,,,,0.1,2.4,,,1.1,,,,0.6,,,,,,,,,,,1.6,-11.2,22.7,,,26.4,,-43.8,,5.4,15.1,29.3,,-34.7,-25.4,,New,,25.2,,-10.9,-30.2,8.9,New,,,,NotFound,,,,,17.7,,,NotFound,New,Found,New,mobile,Found
2987005,444135,871.2,C,7813,328.2,332.7,mastercard,144.2,credit,160.9,58.0,,,yahoo.com,,3.0,12.0,1.0,19.0,17.0,14.0,13.0,8.0,2.0,3.0,15.0,2.0,15.0,16.0,,460.2,396.0,401.1,202.2,,,,,,,0.6,,253.2,98.0,T,F,T,M0,,,,F,,,,,,,,2.0,,,,3.5,3.7,3.7,,3.6,,,,,4.2,,,2.0,,,,,3.1,,,,4.1,,,,,,0.7,,4.9,,,,0.8,2.4,,0.5,4.6,,,,1.1,1.3,,,,1.4,,,2.2,,,3.8,3.6,2.1,,,,4.6,,2.6,1.7,1.6,4.8,,,0.0,,,5.0,4.8,,,3.9,,3.1,4.5,,1.7,1.1,,,0.1,,,,,,,4.8,,,,1.2,,2.1,,,,,4.6,,,,0.1,0.8,,,0.2,,,0.2,,4.9,,4.5,,,,,,,,,,3.7,,4.5,,,0.3,,,,,,,3.9,,3.2,,,,,,,3.0,4.6,,,1.7,1.5,0.1,,,,,,,,,,3.1,1.8,,,3.5,2.8,,,3.3,,,,,,,,,,3.2,,,4.3,,4.5,,3.9,1.1,2.8,,,,,,,,5.0,,2.2,,,,,,1.9,,,,,,,,,,,,,,,,,,,2.0,,3.3,0.2,4.7,,4.1,,3.5,1.5,,3.0,4.2,3.6,2.9,4.2,,,,0.2,1.7,,,,,,3.1,,,,,2.4,,,,,2.8,,,,,,0.6,,3.1,,,,,,,0.7,0.0,,,,,2.0,2.9,,,,5.0,,,,2.0,,4.4,,,,1.7,,,,3.8,3.5,,,,,,,,,,,,,,,,,,,,,0.4,,4.1,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987006,452934,175.48,W,2897,218.9,131.9,mastercard,415.8,credit,345.7,30.6,210.6,,,,4.0,19.0,10.0,7.0,15.0,11.0,9.0,11.0,6.0,8.0,2.0,16.0,10.0,12.0,,322.2,,,,,406.6,,138.2,240.3,487.4,,,,,F,T,,M0,,F,F,T,T,,4.1,,0.3,,,,,,,,,1.3,,,,,2.3,,,,4.1,,,1.7,,1.1,,,3.0,,,4.1,,,,,4.6,,,3.4,3.8,,,,,,,,0.9,3.1,,4.0,,,,,1.7,,,2.3,0.9,,,,,,3.5,,1.5,,3.2,,,,3.3,2.1,3.3,,4.4,,,,,,1.2,,1.4,0.5,4.6,0.6,3.7,,,,2.6,,,,,,,2.0,,3.9,2.0,,,,,1.7,,,,,0.0,,,2.0,,,,,,3.9,,,,,3.8,,,,0.7,3.0,1.4,2.7,1.1,,,1.1,,,,,,,,,,,2.0,3.6,,2.1,0.3,0.9,,,,,,,1.2,3.6,,,,,0.7,,,,,,,,4.4,3.6,,,,3.0,,,,1.6,,0.4,2.9,3.6,1.5,,,,1.1,,3.7,,,,,,,,,,,,3.9,,,,,0.5,,,,,,,,,,,,,3.1,,,1.3,3.0,,,,,,,2.7,4.8,,,,,,,,,,,,2.2,,3.9,,,,,,1.5,0.7,,,,,,,,0.2,,4.7,,,3.4,,0.6,,0.7,0.4,0.8,,,,,,,4.1,2.3,,,,,,,4.2,,,,,,,,,,,,,,,0.3,,,,,4.6,2.4,,1.8,0.6,,,3.5,,0.8,,,2.8,,,,,,,,,,,0.8,3.7,,18.4,42.2,49.1,,-10.8,,,,,-14.8,,-47.1,-22.4,NotFound,NotFound,26.1,-27.4,43.8,,,,New,19.2,8.6,,NotFound,Found,New,NotFound,NotFound,,New,Found,New,Found,Found,Found,desktop,
2987007,482140,33.46,R,2987,520.8,423.0,mastercard,350.1,credit,139.4,44.5,,,hotmail.com,anonymous.com,14.0,14.0,14.0,19.0,17.0,12.0,16.0,0.0,8.0,7.0,14.0,19.0,12.0,11.0,61.6,,366.6,137.3,343.8,,,,14.4,,,,242.1,,61.1,,,T,M0,F,,T,,,,,,,1.5,4.6,,,3.4,3.7,4.6,2.8,,,,3.9,1.9,,,,3.8,,,,,,,4.9,,,,0.6,,2.8,,,4.5,,,1.1,4.8,3.6,,1.4,3.7,2.4,,,2.5,,4.8,,,2.5,,,,,,1.2,,,0.7,,4.8,,,1.1,4.7,0.8,1.8,,,,,,4.1,4.9,,,4.4,,2.7,4.3,,,,3.1,2.6,4.9,4.1,,,,,,,,,,,,3.3,,,,,1.5,,3.2,,,,,2.4,0.5,,,,,,,3.4,1.9,,,,,,,,3.2,3.7,4.7,1.6,,,,3.7,,0.9,,,,,,4.4,,,3.8,,,,,,,4.9,,0.9,,5.0,,,,,2.8,,,3.3,3.9,1.8,,,,,,,3.0,,,,,,,,1.3,,4.4,,,,4.1,,,,,,3.1,,4.0,,,,,1.0,,,0.3,,2.8,3.7,,2.6,2.8,,,4.7,0.8,,,,,,0.4,4.4,,,,,,,,,,2.4,0.1,,2.2,,,,,,,,3.4,4.6,,,,,,,3.9,,,,,,0.4,,,,,,3.0,,4.8,,2.9,2.7,,,,,,,,,4.3,4.9,1.1,,0.7,,,,0.7,,,1.5,4.2,,,,,,2.1,3.6,3.3,,,,,4.9,,2.8,,0.1,4.1,,,3.8,,1.3,,,2.1,,,,,,4.7,0.2,,,2.3,,0.9,,,,,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987008,514354,56.55,C,2016,251.8,239.8,discover,415.0,debit,420.4,96.5,,,yahoo.com,,16.0,6.0,16.0,5.0,4.0,5.0,13.0,0.0,5.0,12.0,14.0,11.0,4.0,0.0,547.3,307.1,,,528.0,,469.6,592.3,511.5,,,,,145.7,,,T,F,,,T,F,F,F,2.5,,,,3.4,2.7,,,,,,3.7,,,,0.7,,,,4.2,2.2,,2.8,,,,,,,,,,,,1.6,,,,,,,1.8,,1.0,,,,,,,1.8,,,,,,,1.5,,2.4,,,,,,0.4,1.0,,,,,4.3,1.2,,,1.7,4.4,1.8,0.3,4.6,,2.8,,,,,,,,4.3,,,,2.3,4.0,,,,,2.6,3.8,,,2.1,2.6,2.4,4.0,,,,,2.8,,,,,4.9,3.4,,2.5,0.5,,,,,,,,,,,,2.0,,,,2.0,4.7,,,,,,2.3,,,,,,,2.7,,0.4,,,,,2.1,,,,,,,2.6,2.8,2.8,,,,,,,,,,,,,1.8,,,,,,,4.0,,1.8,,,2.0,,,,,1.1,0.9,,,,,,,3.1,2.0,,,2.6,4.0,2.1,,,0.6,,0.7,1.3,,,,,1.2,4.7,,2.0,,,,,,1.4,0.2,,,,,,,2.1,,,,,,,,,,3.6,,,,,4.4,,,3.2,2.1,,,,,,,3.7,,,,0.5,1.8,,,,,3.1,,,2.9,,,,2.7,,,,,,,,1.3,1.6,,1.3,,0.3,,,3.9,,,,,,,,4.0,3.3,1.3,4.1,2.4,1.6,4.6,,,2.6,0.6,,,,,,1.2,,,,3.5,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987009,609604,436.56,R,13660,125.7,242.3,mastercard,337.5,debit,354.8,81.4,,,gmail.com,anonymous.com,3.0,12.0,10.0,4.0,2.0,12.0,5.0,10.0,6.0,2.0,0.0,11.0,4.0,11.0,357.5,404.3,,348.4,216.3,210.0,332.7,,378.0,2.2,489.5,518.4,,375.4,210.9,,,,M1,F,F,,T,F,4.0,,2.8,,2.6,,,,,,,2.5,,,,0.0,4.3,,,,,,,,3.6,4.9,,,,0.9,,3.4,,,,,,0.6,,,1.6,,,2.3,,,,,,0.7,,0.9,,,,,,4.3,,0.6,,1.0,,1.2,,0.4,,,,,4.2,,1.3,,,,,,4.0,,2.3,,,,,,,,,,,4.9,0.8,,3.1,1.0,,,4.2,4.3,,,1.2,1.8,0.3,,,0.0,3.7,,,,,2.9,,,4.9,0.7,,2.7,1.9,5.0,1.6,,0.4,,,,,,,3.4,4.1,,,,,,1.5,3.0,,,,,2.7,,1.2,,,,,,1.1,1.9,3.3,,,,,,,,,3.3,,,,,,,,,,3.9,3.0,,,,,,,,,,,,,4.0,5.0,,,3.3,,,,,,,,,4.5,,,1.0,0.8,1.4,,,,,,,2.4,4.2,,1.0,,4.3,,,,1.0,,4.9,,1.7,4.9,,,0.3,1.4,0.7,,0.8,,,,,,1.0,2.7,,,,0.9,,,3.9,,,,,,,4.5,,4.7,1.6,,,,,,,,,,,,1.9,,1.3,,,,,,,3.0,3.1,0.8,,,2.2,3.3,3.6,,2.9,2.6,,,,,,,2.1,,,,4.4,,3.9,,,4.6,,3.8,,,3.5,2.0,,,,,,,,,1.6,,4.5,2.2,,,0.1,,,,,1.0,4.0,,,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
